rank,bvid,aid,title,up_name,up_mid,view,danmaku,favorite,coin,like,share,pubdate,duration,tname,desc,videos,copyright,tags,crawl_time,duration_min,tags_list,like_rate,danmaku_density
1,BV1twgSzhEo8,114775921003380,《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,崩坏星穹铁道,1340190821,5936078,135589,177387,382493,448141,80947,2025-07-02 06:00:00,1155,手机游戏,"你还记得吗，无缘黎明的卡厄斯兰那？
在那酣醉的迷梦中，山高而陡峻，你看见了自己。
 
插曲：《耀斑》
演唱者：YMIR
 
中文CV：
白厄——秦且歌
幼年白厄——弭洋
 
日文CV：
白厄——日野聪
幼年白厄——蓝原琴美
 
英文CV：
白厄——Joshua Waters
幼年白厄——Justine Huxley
 
韩文CV：
白厄——윤용식
幼年白厄——박하진",4,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,崩坏星穹铁道白厄,因为太阳将要毁伤,米哈游,miHoYo",2025-07-05 16:29:30,19.25,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '崩坏星穹铁道白厄', '因为太阳将要毁伤', '米哈游', 'miHoYo']",0.07549445947307296,7043.584415584415
2,BV1TB37z6E5x,114794040400082,48小时巨作清明上河图馒头,小馒头的面食面艺,3546662226102356,3498021,27454,26290,122031,370509,4565,2025-07-04 08:41:29,151,美食制作,用面团复制清明上河图，几经失败，最终能成功吗？,1,1,"馒头,非遗手工,记录我的美食日常,清明上河图馒头,有趣的馒头,小馒头的面食面艺,制作过程,创意美食,有趣的视频,治愈系美食,大学生就业指南-美食版2.0",2025-07-05 16:29:32,2.5166666666666666,"['馒头', '非遗手工', '记录我的美食日常', '清明上河图馒头', '有趣的馒头', '小馒头的面食面艺', '制作过程', '创意美食', '有趣的视频', '治愈系美食', '大学生就业指南-美食版2.0']",0.10591960425623517,10908.874172185431
3,BV1EC3azYEcC,114787212072567,全 明 星 做 手 术  1,多节课,46733369,2428047,1698,52142,27103,297168,40153,2025-07-03 03:40:07,110,鬼畜剧场,还有续集~,1,1,"周深,陈奕迅,邓紫棋,鬼畜,全明星,林俊杰,暑假,多节课,毛不易,鬼畜星探企划,鬼畜星探企划第二十二期",2025-07-05 16:29:34,1.8333333333333333,"['周深', '陈奕迅', '邓紫棋', '鬼畜', '全明星', '林俊杰', '暑假', '多节课', '毛不易', '鬼畜星探企划', '鬼畜星探企划第二十二期']",0.12238972309844084,926.1818181818182
4,BV1Ab3uzyEAs,114788856238033,《绝区零》1周年特别纪念GMV,Z.Y.L,175404,936551,16573,34634,78269,136731,6951,2025-07-04 12:30:00,203,网络游戏,"千言万语也难以表达对我们的玩家和制作组的感谢，所以下班后挤时间剪了个zzz二创～想以此mv感谢大家一直以来的支持与付出。绝区零一周年快乐！！！～（已经快10年没正儿八经做过非工作上的东西了，时间和水平都有限～大家凑合看看T-T～）

投稿作者：@Z.Y.L",1,1,"混剪,GMV,绝区零UP主激励计划,绝区零一周年,绝区零,绝区零 2.0版本UP主激励计划",2025-07-05 16:29:36,3.3833333333333333,"['混剪', 'GMV', '绝区零UP主激励计划', '绝区零一周年', '绝区零', '绝区零 2.0版本UP主激励计划']",0.1459941850470503,4898.4236453201975
5,BV1uG3Ez7EzW,114793872691076,穿越沙漠，我们看到了此生难得一见的美景！！！【青春旅行团11】,雨哥到处跑,147166910,1209579,45360,45370,103509,140739,5359,2025-07-04 09:10:00,2542,综艺,"全！新！系！列！！《青春旅行团》第二季,第五期！！
一个人策划一期旅游，【躁动篇】来啦！！
喜欢的话请多多一键三连吧！！！
太燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥拉！！",1,1,"青春,旅游,美食,搞笑,生活,青春旅行团,哔须有此行,欧莱雅野王防晒,全新欧莱雅安瓶面膜,沙漠,旅行攻略UP主激励计划",2025-07-05 16:29:38,42.36666666666667,"['青春', '旅游', '美食', '搞笑', '生活', '青春旅行团', '哔须有此行', '欧莱雅野王防晒', '全新欧莱雅安瓶面膜', '沙漠', '旅行攻略UP主激励计划']",0.1163537065375639,1070.6530291109364
6,BV1ph3azrEaD,114787077850708,《崩坏：星穹铁道》星旅一瞬：「一轮朝阳的命运」,帕姆的收藏夹,508103429,1232956,19090,37515,49625,141892,14424,2025-07-04 03:00:00,274,手机游戏,夜幕降临，白日西沉，继而又东升——这应是一轮朝阳的命运。,4,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,崩坏星穹铁道白厄,米哈游,miHoYo",2025-07-05 16:29:40,4.566666666666666,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '崩坏星穹铁道白厄', '米哈游', 'miHoYo']",0.11508277667653996,4180.29197080292
7,BV1gC3xzuESM,114782296345699,祝所有的大学生们毕业快乐~爸爸妈妈终于来到了中国，这一刻，我等了太久太久！感恩感谢家人们的支持~爱你们！,老王在中国,3537122973714533,1322010,15667,20709,105673,151413,1590,2025-07-02 09:20:00,404,美食侦探,昔者，有民为战火所迫，转徙异域，飘如转蓬。时逢乱世不得其所，涉江跨海，终抵中土。时维华夏，政通人和。然关文未允，牒书难通，与父母暌违数稔矣。而今皇天不负苦心人，幸得骨肉重逢于斯，执手相看，涕泗交零，乡关梦断处，竟成团圆乡。,1,1,"毕业,快乐,生活记录,校园,爸爸妈妈,伊拉克,感恩,老外在中国,祝福,随手记录我的生活碎片,来BW当然要拍vlog啦",2025-07-05 16:29:42,6.733333333333333,"['毕业', '快乐', '生活记录', '校园', '爸爸妈妈', '伊拉克', '感恩', '老外在中国', '祝福', '随手记录我的生活碎片', '来BW当然要拍vlog啦']",0.1145324165475299,2326.7821782178216
8,BV1W83azGE7A,114787027519026,“ 爱 情 和 事 业 真 的 不 可 以 兼 得 吗 ？”,星有野,627888730,2030316,3852,28889,27637,154155,3989,2025-07-03 04:00:00,404,同人·手书,你终会明白，前途比爱情重要，你还会明白，爱情比前途更难得，但最后你会明白，对的人 会站在你的前途里,1,1,"正能量,动画短片,爱情,治愈,星有野,闪烁之光六周年,泪目,感动,闪烁之光,事业",2025-07-05 16:29:44,6.733333333333333,"['正能量', '动画短片', '爱情', '治愈', '星有野', '闪烁之光六周年', '泪目', '感动', '闪烁之光', '事业']",0.07592660452855615,572.0792079207921
9,BV17e3xzLEA4,114782598337839,40斤的单手剑？锻造还原《崩坏：星穹铁道》白厄「侵晨」大剑,大锤LBX,442264378,987268,12439,32734,51611,141616,12732,2025-07-02 10:00:00,782,手工,"《崩坏：星穹铁道》白厄「侵晨」大剑
长170CM 重20KG 剑身52100钢 装具黄铜",1,1,"手工,大剑,崩坏：星穹铁道,侵晨,白厄,崩坏星穹铁道,星穹铁道白厄,因为太阳将要毁伤,翁法罗斯逐火之旅,崩坏星穹铁道3.4创作者激励计划,锻刀",2025-07-05 16:29:45,13.033333333333333,"['手工', '大剑', '崩坏：星穹铁道', '侵晨', '白厄', '崩坏星穹铁道', '星穹铁道白厄', '因为太阳将要毁伤', '翁法罗斯逐火之旅', '崩坏星穹铁道3.4创作者激励计划', '锻刀']",0.14344230745856243,954.3989769820972
10,BV1Xa3gzhEVT,114790047483934,特厨探店 |来人管管天津菜—鑫来子菜馆,特厨隋坡,3546888255048212,1599950,3565,22583,26182,163621,22252,2025-07-04 03:30:00,215,美食侦探,,1,1,"美食,隋坡,特厨隋卞,舌尖真探事务所,天津,美食探店",2025-07-05 16:29:46,3.5833333333333335,"['美食', '隋坡', '特厨隋卞', '舌尖真探事务所', '天津', '美食探店']",0.10226632082252571,994.8837209302325
11,BV13D3tzGEta,114783051321986,《我没错，它全责》,张小伙玩配音,272562791,4683148,1528,29345,6483,259716,29881,2025-07-02 10:03:21,59,搞笑,原曲-周杰伦《退后》,1,1,"万万没想到,搞笑小剧场,搞笑配音,押韵,退后,看一遍笑一遍,张小伙玩配音,UP 小剧场 3.0",2025-07-05 16:29:48,0.9833333333333333,"['万万没想到', '搞笑小剧场', '搞笑配音', '押韵', '退后', '看一遍笑一遍', '张小伙玩配音', 'UP 小剧场 3.0']",0.055457568285264526,1553.8983050847457
12,BV1ee3WzqEJZ,114781826647329,眼力对决！6个UP主因猜价彻底疯狂?【谁是猜价王2】,-LKs-,125526,2110032,14352,23775,44074,113188,3907,2025-07-02 09:30:00,1852,极客DIY,"在猜价王系列，买卖双方将围绕一个个""大有来头""的藏品，进行诈唬与洞察的博弈，最终角逐出至尊猜价王！

*这个系列的核心是反诈，帮各位在生活中提高警惕谨防溢价or以假乱真(｀・ω・´)
*本期优化了积分规则、盲盒机制和拍摄场景，同时欢迎各位继续给出更多反馈和建议
*第1~4轮右边3人特写机位没开log，导致高光稍微有点溢出，各位多多谅解_(:з」∠)_",1,1,"游戏,围棋,宝可梦,搞笑,PK,把兴趣玩出名堂,价格,雪茄,BJD,盲猜",2025-07-05 16:29:50,30.866666666666667,"['游戏', '围棋', '宝可梦', '搞笑', 'PK', '把兴趣玩出名堂', '价格', '雪茄', 'BJD', '盲猜']",0.05364278835581641,464.9676025917926
13,BV1dU3azFEZ9,114786826326103,监狱可以办走读吗？,俏佳人xxx,423738152,2335479,775,17356,2685,167152,3168,2025-07-03 03:04:42,177,日常,"《这些问题谁问的》第三期，在这个系列中，大家非常渴望了解相关法律知识，提问都非常有趣。
祝大家遵纪守纪、合法守法，要体验“越狱”可以在游戏三角洲行动里体验啦！",1,1,"监狱,法律,三角洲行动,猛攻三角洲破壁新赛季,三角洲破壁新赛季上线,三角洲行动7月激励计划",2025-07-05 16:29:52,2.95,"['监狱', '法律', '三角洲行动', '猛攻三角洲破壁新赛季', '三角洲破壁新赛季上线', '三角洲行动7月激励计划']",0.07157075700530811,262.7118644067796
14,BV1dw38zXEZd,114784343234477,《三角洲行动》全新破壁赛季故事短片,三角洲行动,3494376565115651,2279724,45526,27687,3837,123657,3685,2025-07-03 02:00:00,602,网络游戏,"《三角洲行动》破壁赛季将于7月3日正式开启！

阻止天网计划的行动还在继续，G.T.I.的干员们潜入哈夫克的潮汐监狱，以获取更多天网情报。当两方人马在潮汐监狱相遇，一段被尘封的过往即将揭晓，一场有预谋的暴乱一触即发！",2,1,"三角洲行动,猛攻三角洲破壁新赛季,三角洲破壁新赛季上线,三角洲行动7月激励计划",2025-07-05 16:29:54,10.033333333333333,"['三角洲行动', '猛攻三角洲破壁新赛季', '三角洲破壁新赛季上线', '三角洲行动7月激励计划']",0.05424209246382457,4537.475083056478
15,BV1Db34zqEHu,114783873405140,从素颜到美少女，沉浸式当一天河野华！,河野华,18343098,1446398,1224,33334,18940,121027,3356,2025-07-02 13:44:41,245,仿妆cos,"好久不见，你的月更博主又更新了……暑假我不会再鸽了！！哈哈哈哈

这期视频展示了我最常见的COS拍摄状态，选择了白毛单手剑丝柯克，当然还有小翠真诚的化妆小干货，绝不让任何一期视频湿湿的，干货满满，记得给我点赞，一键三连哦，这样我就会快快更新更多有趣的视屏啦！！谢谢我的男宝宝女宝宝们～比心",1,1,"漫展,美女,摄影,VLOG,素颜,搞笑,COSPLAY,丝柯克,原神,当时髦精闯进痛圈",2025-07-05 16:29:55,4.083333333333333,"['漫展', '美女', '摄影', 'VLOG', '素颜', '搞笑', 'COSPLAY', '丝柯克', '原神', '当时髦精闯进痛圈']",0.08367475618743941,299.7551020408163
16,BV1Bv38zcES5,114784326454417,看完主线了你猜我笑没笑【崩铁3.4实况】,果蝇轰,8469526,1127372,55546,20791,45317,104040,1920,2025-07-02 15:29:43,1716,手机游戏,"对不起，下次不敢说暖心了，没想到是这种暖心（）
明天起床写杂谈去了，总之努力这周内更新！",1,1,"白厄,纳努克,崩坏星穹铁道,崩坏：星穹铁道创作者激励计划,翁法罗斯,昔涟,来古士,因为太阳将要毁伤,崩坏星穹铁道3.4创作者激励计划,星铁3.4版本实况,果蝇轰",2025-07-05 16:29:58,28.6,"['白厄', '纳努克', '崩坏星穹铁道', '崩坏：星穹铁道创作者激励计划', '翁法罗斯', '昔涟', '来古士', '因为太阳将要毁伤', '崩坏星穹铁道3.4创作者激励计划', '星铁3.4版本实况', '果蝇轰']",0.0922854213161228,1942.167832167832
17,BV1kY3azgEEu,114787061139018,【绝区零】全球首个 模拟仿真计算器 ZSim 正式开源！绝区零一周年贺礼！,清茶沐沐_Kiyotya,22837810,855333,462,31091,53605,98585,6828,2025-07-03 09:05:00,314,手机游戏,"ZSim是全球首款《绝区零》模拟仿真计算器，由清茶沐沐攻略组独立自主研发完成。
现在，为回馈社区，也为庆祝绝区零一周年生日，我们正式将其开源。
相关链接都在评论区置顶哦~",1,1,"绝区零UP主激励计划,ZSim,宣传片,代码,开源,模拟仿真,绝区零,绝区零 2.0版本UP主激励计划",2025-07-05 16:30:00,5.233333333333333,"['绝区零UP主激励计划', 'ZSim', '宣传片', '代码', '开源', '模拟仿真', '绝区零', '绝区零 2.0版本UP主激励计划']",0.11525920314076506,88.28025477707006
18,BV1YfgDz3Eii,114776793422626,《机甲模拟器》,马鹿blyat,6989655,2660051,2177,30250,36696,240531,18602,2025-07-02 04:00:00,78,极客DIY,-,1,1,"机甲,解限机,解限机公测,模拟器,幼儿园手工",2025-07-05 16:30:02,1.3,"['机甲', '解限机', '解限机公测', '模拟器', '幼儿园手工']",0.09042345428715465,1674.6153846153845
19,BV1WZ3xzfEQc,114782329964162,我求婚了！,Helin和Eva,430359206,1054115,1319,12126,88964,140713,970,2025-07-02 07:01:46,216,日常,-,1,1,"生活记录,爱情,求婚,中外情侣,寻找100个宝藏vlogger,来BW当然要拍vlog啦",2025-07-05 16:30:03,3.6,"['生活记录', '爱情', '求婚', '中外情侣', '寻找100个宝藏vlogger', '来BW当然要拍vlog啦']",0.13348923030219664,366.38888888888886
20,BV18f3azpEAX,114786977253070,出山洞那一刻，人都傻了...,像素椰子,27624928,1133118,652,36530,16084,117352,3467,2025-07-03 02:42:05,267,短片,"在挪威 罗弗敦群岛自驾，上演一场末世之旅
穿越八级风暴，只为追寻一张传说中的——《孤独星球》封面",1,1,"北欧,挪威,生活记录,风景,摄影,旅游,电影感,旅行攻略UP主激励计划",2025-07-05 16:30:04,4.45,"['北欧', '挪威', '生活记录', '风景', '摄影', '旅游', '电影感', '旅行攻略UP主激励计划']",0.10356555980930494,146.51685393258427
21,BV15C38zREoi,114786037661826,向德穆兰和威龙求婚！三角洲行动CC问答还有隐藏彩蛋奖励！,究刺_Official,2431441,1280976,849,53171,3544,95673,24508,2025-07-02 22:41:38,212,网络游戏,-,1,1,"FPS,搞笑,101俱乐部,牢太,三角洲行动,三角洲,威龙,沙雕,德穆兰,三角洲破壁新赛季上线,三角洲行动7月激励计划",2025-07-05 16:30:06,3.533333333333333,"['FPS', '搞笑', '101俱乐部', '牢太', '三角洲行动', '三角洲', '威龙', '沙雕', '德穆兰', '三角洲破壁新赛季上线', '三角洲行动7月激励计划']",0.07468758196874883,240.28301886792454
22,BV1vN3azbErf,114785148470586,上不去！,坏枪,6636705,1044381,1526,38442,18571,99902,13517,2025-07-02 18:55:50,164,鬼畜调教,"经过科学家们的「激烈」口技对决后，小明到底能不能把自己拉上去，我也不知道了。
----------
科学家史料：BV1zVbrejEQU
----------
BGM：Hot Blast - Mr.Asyu",1,1,"鬼畜,小明,物理,搞笑,音MAD,Mr.Asyu,Hot Blast",2025-07-05 16:30:08,2.7333333333333334,"['鬼畜', '小明', '物理', '搞笑', '音MAD', 'Mr.Asyu', 'Hot Blast']",0.09565666169721586,558.2926829268292
23,BV1dd3sz3ErF,114782749397083,假如以《让子弹飞》的方式打开乳法....,法兰西小欣欣,1612935698,1656637,2431,14966,47770,133353,2949,2025-07-03 10:00:00,151,人文历史,"7.11直面乳法最终篇—法欣社rap《真bon不jour》上线
法欣社！又高又硬！",1,1,"搞笑,整个大活,法欣社,法国up,让子弹飞,名场面,法式幽默,一人分饰多角,整活,每日乳法,UP 小剧场 3.0",2025-07-05 16:30:10,2.5166666666666666,"['搞笑', '整个大活', '法欣社', '法国up', '让子弹飞', '名场面', '法式幽默', '一人分饰多角', '整活', '每日乳法', 'UP 小剧场 3.0']",0.08049621009309825,965.9602649006623
